"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2025","99.14","100.01","100.26","98.61","","-0.83%"
"31/07/2025","99.97","99.80","100.10","99.52","0.00K","0.15%"
"30/07/2025","99.82","98.92","99.98","98.70","0.00K","0.94%"
"29/07/2025","98.89","98.64","99.14","98.58","0.00K","0.26%"
"28/07/2025","98.63","97.58","98.68","97.49","0.00K","1.01%"
"25/07/2025","97.64","97.45","97.90","97.43","","0.28%"
"24/07/2025","97.38","97.18","97.55","97.11","0.00K","0.17%"
"23/07/2025","97.21","97.47","97.61","97.19","0.00K","-0.18%"
"22/07/2025","97.39","97.87","97.99","97.31","0.00K","-0.47%"
"21/07/2025","97.85","98.36","98.51","97.70","0.00K","-0.64%"
"18/07/2025","98.48","98.49","98.57","98.10","","-0.26%"
"17/07/2025","98.73","98.35","98.95","98.33","0.00K","0.35%"
"16/07/2025","98.39","98.58","98.91","97.71","0.00K","-0.23%"
"15/07/2025","98.62","98.14","98.70","97.93","0.00K","0.55%"
"14/07/2025","98.08","97.96","98.14","97.76","0.00K","0.23%"
"11/07/2025","97.85","97.57","97.96","97.56","","0.21%"
"10/07/2025","97.65","97.44","97.92","97.27","0.00K","0.10%"
"09/07/2025","97.56","97.55","97.75","97.46","0.00K","0.04%"
"08/07/2025","97.52","97.36","97.84","97.18","0.00K","0.04%"
"07/07/2025","97.48","96.96","97.67","96.89","0.00K","0.53%"
"04/07/2025","96.96","97.09","97.18","96.86","0.00K","-0.22%"
"03/07/2025","97.18","96.75","97.42","96.69","0.00K","0.42%"
"02/07/2025","96.78","96.64","97.15","96.62","0.00K","-0.04%"
"01/07/2025","96.82","96.78","96.95","96.38","0.00K","-0.06%"
"30/06/2025","96.88","97.18","97.32","96.77","0.00K","-0.54%"
"27/06/2025","97.40","97.33","97.50","97.00","","0.26%"
"26/06/2025","97.15","97.55","97.61","97.00","0.00K","-0.54%"
"25/06/2025","97.68","97.93","98.20","97.65","0.00K","-0.18%"
"24/06/2025","97.86","98.16","98.28","97.71","0.00K","-0.57%"
"23/06/2025","98.42","99.09","99.42","98.35","0.00K","-0.29%"
"20/06/2025","98.71","98.67","98.89","98.54","","-0.20%"
"19/06/2025","98.90","98.88","99.16","98.75","0.00K","0.00%"
"18/06/2025","98.90","98.87","99.01","98.48","0.00K","0.09%"
"17/06/2025","98.82","98.19","98.87","98.02","0.00K","0.84%"
"16/06/2025","98.00","98.26","98.36","97.68","0.00K","-0.19%"
"13/06/2025","98.18","97.81","98.59","97.62","","0.27%"
"12/06/2025","97.92","98.46","98.52","97.60","0.00K","-0.72%"
"11/06/2025","98.63","98.96","99.22","98.53","0.00K","-0.47%"
"10/06/2025","99.10","98.98","99.39","98.86","0.00K","0.16%"
"09/06/2025","98.94","99.20","99.23","98.82","0.00K","-0.25%"
"06/06/2025","99.19","98.70","99.36","98.65","","0.45%"
"05/06/2025","98.74","98.80","98.94","98.35","0.00K","-0.05%"
"04/06/2025","98.79","99.18","99.39","98.67","0.00K","-0.44%"
"03/06/2025","99.23","98.58","99.33","98.58","0.00K","0.53%"
"02/06/2025","98.71","99.41","99.42","98.61","0.00K","-0.63%"
"30/05/2025","99.33","99.25","99.67","99.13","","0.05%"
"29/05/2025","99.28","100.54","100.54","99.22","0.00K","-0.60%"
