"date","PL=F","PA=F","CC=F","ZO=F","LBS=F","REMX","ZB=F","ZN=F","ZF=F","ES=F","YM=F","RTY=F","NQ=F"
2005-08-01,910.200012207031,195.800003051758,1482,160,303.700012207031,NA,114.968803405762,110.6875,107.109397888184,1237.5,10633,NA,1615
2005-08-02,907,195.5,1498,161,293.700012207031,NA,114.656303405762,110.593803405762,107.078102111816,1245,10683,NA,1629
2005-08-03,918.099975585938,196.5,1491,158,291.100006103516,NA,115.156303405762,110.828102111816,107.25,1247.75,10708,NA,1632.5
2005-08-04,910.599975585938,193.5,1479,157.25,301.100006103516,NA,114.906303405762,110.671897888184,107.171897888184,1238,10615,NA,1616.5
2005-08-05,910.5,191.600006103516,1455,155.25,296,NA,114.1875,110.109397888184,106.8125,1229.75,10569,NA,1607.5
2005-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-08,902.200012207031,190,1430,159,290.700012207031,NA,113.9375,109.953102111816,106.671897888184,1227.25,10558,NA,1598.5
2005-08-09,909,188.199996948242,1402,159.25,298.100006103516,NA,114.25,110.1875,106.828102111816,1234.25,10632,NA,1607.5
2005-08-10,907.5,187.699996948242,1399,159.75,291.399993896484,NA,114.218803405762,110.1875,106.843803405762,1233.75,10624,NA,1596
2005-08-11,919.700012207031,188.5,1356,161,292.700012207031,NA,114.906303405762,110.625,107.125,1238.5,10685,NA,1594.5
2005-08-12,923.200012207031,185.550003051758,1343,153.75,282.700012207031,NA,115.968803405762,111.171897888184,107.453102111816,1231,10598,NA,1592.5
2005-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-15,905.200012207031,186.25,1337,152,277.899993896484,NA,115.656303405762,110.953102111816,107.296897888184,1237.5,10659,NA,1606
2005-08-16,892.700012207031,185.050003051758,1341,150.5,276.600006103516,NA,116.156303405762,111.328102111816,107.531303405762,1221.5,10533,NA,1583
2005-08-17,889.5,185.149993896484,1318,151.75,278.700012207031,NA,115.593803405762,110.953102111816,107.343803405762,1221.5,10562,NA,1583.5
2005-08-18,893,183.850006103516,1348,150.5,282.5,NA,116.25,111.578102111816,107.609397888184,1221,10568,NA,1579.5
2005-08-19,889.299987792969,183.100006103516,1349,149.5,275.700012207031,NA,116.25,111.578102111816,107.593803405762,1223.75,10592,NA,1579.5
2005-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-22,893.099975585938,182.449996948242,1368,149,277.5,NA,116.25,111.593803405762,107.593803405762,1224,10589,NA,1580.5
2005-08-23,898.099975585938,185.75,1360,150,279.200012207031,NA,116.531303405762,111.718803405762,107.718803405762,1221.5,10550,NA,1577.5
2005-08-24,899.900024414062,184.5,1367,151.25,272.600006103516,NA,116.593803405762,111.75,107.718803405762,1210,10437,NA,1565
2005-08-25,897.5,182.800003051758,1349,150,269.5,NA,117,111.859397888184,107.75,1213.5,10460,NA,1567
2005-08-26,897.799987792969,182.550003051758,1374,148,277.5,NA,116.6875,111.578102111816,107.531303405762,1206,10407,NA,1563.5
2005-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-29,904.400024414062,182.699996948242,1365,145.5,287.5,NA,116.906303405762,111.734397888184,107.578102111816,1214.5,10478,NA,1574.5
2005-08-30,889,180.649993896484,1352,142,287,NA,117.6875,112.453102111816,108.093803405762,1208.5,10415,NA,1570
2005-08-31,894.5,181.949996948242,1350,147,297,NA,118.375,112.921897888184,108.531303405762,1221.5,10502,NA,1584
2005-09-01,903.400024414062,183.949996948242,1442,142.5,318.700012207031,NA,118.25,113.125,108.718803405762,1221.75,10462,NA,1579
